Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56269187,"Three Sisters (The Tattooist of Auschwitz, #3)",Heather   Morris,"Morris, Heather",,1250276896,9781250276896,4,4.38,St. Martin's Press,Hardcover,416,2021,2021,11/1/23,31/3/22,,,read,,,,1,0
59681963,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,1760555754,9781760555757,5,4.41,Picador,Kindle Edition,,2021,2017,9/1/23,8/1/23,,,read,,,,1,0
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,0345453743,9780345453747,0,4.38,Del Rey Books,Paperback,815,2002,1996,,8/1/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
57797381,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,1529063086,9781529063080,3,4.55,,Kindle Edition,523,2021,2021,8/1/23,10/4/22,,,read,,,,1,0
23251016,"Zero to One: Notes on Start Ups, or How to Build the Future",Blake  Masters,"Masters, Blake",Peter Thiel,075355030X,9780753550304,4,4.18,Virgin Digital,Kindle Edition,224,2014,2014,5/1/23,1/1/23,read-business,read-business (#16),read,,,,1,0
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"Lewis, Michael",,0393324818,9780393324815,4,4.25,W. W. Norton  Company,Paperback,317,2004,2003,,31/3/22,read-sport,read-sport (#5),read,,,,1,0
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,039335315X,9780393353150,4,4.29,W. W. Norton  Company,Paperback,291,2015,2010,,31/3/22,read-business,read-business (#17),read,,,,1,0
43797067,"Cilka's Journey (The Tattooist of Auschwitz, #2)",Heather   Morris,"Morris, Heather",,1663619123,9781663619129,5,4.39,Zaffre,Kindle Edition,353,2019,2019,4/1/23,31/3/22,read-history,read-history (#30),read,,,,1,0
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,0393351599,9780393351590,2,4.14,W. W. Norton  Company,Paperback,304,2015,2014,,31/3/22,read-business,read-business (#5),read,,,,1,0
767171,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"Shirer, William L.",,0671728687,9780671728687,1,4.19,Simon & Schuster,Mass Market Paperback,1614,1990,1960,,31/3/22,read-history,read-history (#14),read,,,,1,0
53443339,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,"Fry, Stephen",,0241424585,9780241424582,3,4.36,Michael Joseph,Hardcover,432,2020,2020,,31/3/22,read-history,read-history (#13),read,,,,1,0
377684,"The Assassin's Edge (The Tales of Einarinn, #5)",Juliet E. McKenna,"McKenna, Juliet E.",,0060505680,9780060505684,2,3.87,Harper Voyager,Paperback,514,2003,2002,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#36),read,,,,1,0
661395,The Warrior's Bond (The Tales of Einarinn #4),Juliet E. McKenna,"McKenna, Juliet E.",,0060505664,9780060505660,2,3.85,Harper Voyager,Paperback,516,2002,2001,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#35),read,,,,1,0
661448,"The Gambler's Fortune (The Tales of Einarinn, #3)",Juliet E. McKenna,"McKenna, Juliet E.",,185723989X,9781857239898,2,3.75,HarperCollins Publishers,Mass Market Paperback,528,2000,2000,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#34),read,,,,1,0
661411,The Swordsman's Oath (The Tales of Einarinn #2),Juliet E. McKenna,"McKenna, Juliet E.",,0061020370,9780061020377,2,3.77,Harper Voyager,Paperback,528,2000,1999,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#33),read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,0525512179,9780525512172,2,4.18,Random House,Hardcover,372,2018,2018,,31/3/22,read-history,read-history (#8),read,,,,1,0
400899,"Soldiers Live (The Chronicles of the Black Company, #9)",Glen Cook,"Cook, Glen",,0812566556,9780812566550,3,4.26,Tor Fantasy,Mass Market Paperback,566,2001,2000,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#31),read,,,,1,0
349470,"Water Sleeps (The Chronicles of the Black Company, #8)",Glen Cook,"Cook, Glen",,0812555341,9780812555349,3,4.1,Tor Fantasy,Mass Market Paperback,470,2000,1999,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#30),read,,,,1,0
400897,"She is the Darkness (The Chronicles of the Black Company, #7)",Glen Cook,"Cook, Glen",,0812555333,9780812555332,3,4.1,Tor Fantasy,Mass Market Paperback,470,1998,1997,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#29),read,,,,1,0
469202,"Noonshade (Chronicles of the Raven, #2)",James Barclay,"Barclay, James",,057507535X,9780575075351,3,3.91,Gollancz,Paperback,484,2003,2001,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#21),read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,4,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#2),read,,,,1,0
22492879,Congo: The Epic History of a People,David Van Reybrouck,"Reybrouck, David Van",Sam Garrett,0062200127,9780062200129,3,4.37,Ecco,Paperback,656,2015,2010,,21/7/19,read-history,read-history (#3),read,,,,1,0
597790,The Children of Húrin,J.R.R. Tolkien,"Tolkien, J.R.R.","Alan       Lee, Christopher Tolkien",0007246226,9780007246229,4,4.01,HarperCollins,Hardcover,315,2007,2007,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#7),read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith",0618391118,9780618391110,4,3.98,Houghton Mifflin Company,Hardcover,386,2004,1977,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#12),read,,,,1,0
7329,Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,026110215X,9780261102156,4,3.99,HarperCollins Publishers,Hardcover,452,2000,1980,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#13),read,,,,1,0
51315634,The Accidental Business Nomad: A Survival Guide for Working Across a Shrinking Planet,Kyle Hegarty,"Hegarty, Kyle",,1529329078,9781529329070,3,4.43,Nicholas Brealey,Hardcover,256,2020,,,31/3/22,read-business,read-business (#1),read,,,,1,0
17324840,Legacy,James Kerr,"Kerr, James",,147210353X,9781472103536,1,4.18,Constable  Robinson,Paperback,224,2013,2013,,21/7/19,"read-sport, read-business","read-sport (#1), read-business (#2)",read,,,,1,0
235560,The Two Koreas: A Contemporary History,Don Oberdorfer,"Oberdorfer, Don",,0465051626,9780465051625,2,3.97,Basic Books,Paperback,496,2001,1997,,31/3/22,read-history,read-history (#4),read,,,,1,0
25812847,The Silk Roads: A New History of the World,Peter Frankopan,"Frankopan, Peter",,1408839970,9781408839973,4,4.17,Bloomsbury,Hardcover,636,2015,2016,,31/3/22,read-history,read-history (#5),read,,,,1,0
12121296,"A Line in the Sand: Britain, France and the Struggle that Shaped the Middle East",James   Barr,"Barr, James",,1847374530,9781847374530,3,4.05,Simon & Schuster UK Ltd.,Hardcover,454,2011,2011,,31/3/22,read-history,read-history (#10),read,,,,1,0
36592392,Lords of the Desert: Britain's Struggle with America to Dominate the Middle East,James   Barr,"Barr, James",,1471139794,9781471139796,3,3.98,Simon & Schuster UK Ltd.,Hardcover,416,2018,2018,,31/3/22,read-history,read-history (#11),read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,0062407805,9780062407801,4,4.37,Harper Business,Hardcover,274,2016,2016,,31/3/22,read-business,read-business (#4),read,,,,1,0
8250985,The Kaiser's Holocaust: Germany's Forgotten Genocide and the Colonial Roots of Nazism,David Olusoga,"Olusoga, David",Casper W. Erichsen,0571231411,9780571231416,2,4.29,Faber & Faber,Hardcover,394,2011,2010,,30/6/22,read-history,read-history (#26),read,,,,1,0
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,0380973650,9780380973651,2,4.11,William Morrow,Kindle Edition,635,2011,2001,,15/7/22,read-fantasy-fiction,read-fantasy-fiction (#69),read,,,,1,0
565425,"Diamonds, Gold, and War: The British, the Boers, and the Making of South Africa",Martin Meredith,"Meredith, Martin",,1586484737,9781586484736,1,4.01,PublicAffairs,Hardcover,570,2007,2007,,15/7/22,read-history,read-history (#28),read,,,,1,0
